	Cell1	Cell2	Cell3	Cell4	Cell5	Cell6	Cell7	Cell8	Cell9	Cell10	Cell11	Cell12	Cell13	Cell14	Cell15	Cell16	Cell17	Cell18	Cell19	Cell20	Cell21	Cell22	Cell23	Cell24	Cell25	Cell26	Cell27	Cell28	Cell29	Cell30	Cell31	Cell32	Cell33	Cell34	Cell35	Cell36	Cell37	Cell38	Cell39	Cell40	Cell41	Cell42	Cell43	Cell44	Cell45	Cell46	Cell47	Cell48	Cell49	Cell50	Cell51	Cell52	Cell53	Cell54	Cell55	Cell56	Cell57	Cell58	Cell59	Cell60	Cell61	Cell62	Cell63	Cell64	Cell65
SAFB	0.02	0.76	0.56	0.72	0.83	0.62	0.71	0.66	0.54	0.99	0.74	0.83	0.41	0.31	0.37	0.59	0.49	0.79	1.00	0.26	0.89	0.04	0.95	0.53	0.70	0.27	0.87	0.05	0.29	0.11	0.18	0.21	0.18	0.11	0.35	0.35	0.96	0.32	0.92	0.39	0.02	0.34	0.46	0.40	0.92	0.01	0.65	0.67	0.94	0.10	0.86	0.45	0.32	0.31	0.83	0.75	0.72	0.00	0.70	0.97	0.90	0.42	0.03	0.33	0.65
RFX2	0.55	0.51	0.95	0.37	0.65	0.79	1.00	0.96	0.70	0.63	0.17	0.04	0.36	0.73	0.05	0.43	0.10	0.33	0.23	0.96	0.75	0.02	0.50	0.92	0.91	0.44	0.72	0.93	0.00	0.82	0.27	0.93	0.90	0.93	0.87	0.17	0.19	0.83	0.78	0.91	0.76	0.36	0.33	0.24	0.17	0.99	0.91	0.49	0.64	0.02	0.29	0.64	0.53	0.27	0.65	0.59	0.46	0.36	0.74	0.73	0.53	0.73	0.11	0.85	0.21
SLC25A23	0.04	0.52	0.83	0.84	0.56	0.32	0.61	0.27	0.08	0.58	0.92	0.82	0.86	0.92	0.79	0.58	0.66	0.81	0.12	0.73	0.12	0.84	0.72	0.60	0.46	0.53	0.31	0.05	0.24	0.90	0.19	0.41	0.77	0.91	0.75	0.56	0.53	0.80	0.93	0.18	0.49	0.38	0.57	0.71	0.61	0.00	0.58	0.61	0.59	0.34	0.42	0.71	0.74	0.57	0.13	0.37	0.23	0.44	0.96	0.64	0.31	0.71	0.58	0.39	0.27
EMR1	0.98	0.89	0.12	0.54	0.42	0.04	0.08	0.02	0.76	0.46	0.57	0.88	0.24	0.96	0.51	0.24	0.30	0.35	0.08	0.10	0.53	0.74	0.45	0.02	0.10	0.64	0.21	0.52	0.20	0.39	0.54	0.25	0.83	0.27	0.92	0.04	0.15	0.92	0.61	0.72	0.98	0.94	0.60	0.84	0.11	0.52	0.14	0.37	0.79	0.67	0.19	0.66	0.96	0.44	0.83	0.76	0.40	0.64	0.63	0.93	0.49	0.09	0.36	0.93	0.10
RAB31	0.10	0.80	0.18	0.61	0.02	0.39	0.52	0.70	0.62	0.19	0.70	0.90	0.59	0.02	0.49	0.69	0.36	0.17	0.12	0.83	0.20	0.41	0.13	0.89	0.90	0.07	0.20	0.20	0.66	0.13	0.45	0.13	0.85	0.66	0.14	0.12	0.56	0.95	0.69	0.86	0.36	0.59	0.61	0.19	0.07	0.40	0.94	0.82	0.02	0.83	0.15	0.09	0.97	0.86	0.67	0.48	0.38	0.71	0.31	0.61	0.64	0.39	0.92	0.93	0.23
ORF19	0.14	0.24	0.63	0.17	0.59	0.29	0.31	0.17	0.91	0.86	0.44	0.84	0.29	0.50	0.33	0.57	0.25	0.30	0.66	0.71	0.93	0.73	0.82	0.20	0.39	0.12	0.68	0.86	0.08	0.67	0.18	0.63	0.11	0.41	0.22	0.92	0.31	0.00	0.75	0.14	0.56	0.36	0.67	0.38	0.20	0.32	0.03	0.91	0.33	0.35	0.09	0.58	0.28	0.12	0.88	0.01	0.61	0.17	0.58	0.82	0.69	0.55	0.30	0.81	0.80
BC096411	0.16	0.63	0.34	0.69	0.20	0.88	0.27	0.06	0.12	0.21	0.65	1.00	0.07	0.68	0.91	0.43	0.56	0.78	0.46	0.61	0.15	0.09	0.17	0.34	0.56	0.25	0.21	0.08	0.45	0.19	0.08	0.36	0.70	0.73	0.22	0.04	0.00	0.39	0.02	0.10	0.15	0.36	0.98	0.13	0.13	0.52	0.91	0.47	0.50	0.48	0.67	0.55	0.35	0.49	0.56	0.60	0.02	0.80	0.63	0.29	0.54	0.29	0.23	0.60	0.95
WDR43	0.30	0.72	0.88	0.20	0.14	0.87	0.24	0.66	0.16	0.95	0.60	0.39	0.74	0.52	0.85	0.64	0.31	0.73	0.14	0.08	0.72	0.91	0.28	0.81	0.73	0.24	0.09	0.92	0.18	0.83	0.31	0.56	0.96	0.01	0.88	0.92	0.96	0.64	0.15	0.83	0.81	0.00	0.13	0.52	0.02	0.52	0.89	0.46	0.07	0.66	0.81	0.60	0.35	0.32	0.16	0.64	0.27	0.60	0.53	0.84	0.94	0.16	0.76	0.85	0.15
SLC30A6	0.66	0.44	0.66	0.55	0.81	0.79	0.33	0.14	0.74	0.92	0.23	0.11	0.94	0.25	0.75	0.23	0.11	0.63	0.52	0.96	0.69	0.71	0.42	0.77	0.97	0.81	0.02	0.62	0.96	0.95	0.49	0.89	0.48	0.58	0.01	0.54	0.34	0.03	0.32	0.72	0.77	0.02	0.30	0.67	0.20	0.28	0.69	0.33	0.43	0.25	0.66	0.72	0.60	0.17	0.24	0.56	0.53	0.89	0.77	0.42	0.13	0.55	0.06	0.46	0.28
HEATR5B	0.32	0.70	0.39	0.71	0.37	0.20	0.03	0.74	0.03	0.80	0.21	0.53	0.61	0.26	0.34	0.33	0.41	0.41	0.12	0.04	0.36	0.31	0.02	0.29	0.37	0.93	0.33	0.76	0.39	0.07	0.78	0.19	0.84	0.92	0.53	0.62	0.40	0.83	0.26	0.60	0.00	0.61	0.45	0.95	0.10	0.86	0.72	0.13	0.49	0.60	0.55	0.01	0.06	0.44	0.73	0.02	0.72	0.73	0.83	0.17	0.86	0.43	0.37	0.43	0.31
TMCO1	0.20	0.93	0.91	0.72	0.62	0.64	0.71	0.71	0.89	0.35	0.40	0.97	0.89	0.35	0.66	0.02	0.39	0.66	0.13	0.50	0.03	0.45	0.84	0.37	0.10	0.15	0.43	0.83	0.84	0.23	0.63	0.61	0.75	0.18	0.94	0.52	0.45	0.74	0.32	0.63	0.07	0.42	0.58	0.19	0.44	0.37	0.81	0.03	0.56	0.17	0.94	0.61	0.86	0.58	0.13	0.05	0.41	0.62	0.09	0.46	0.75	0.19	0.60	0.79	0.11
GALM	0.14	0.59	0.42	0.89	0.25	0.37	0.65	0.17	0.40	0.90	0.20	0.73	0.92	0.92	0.72	0.77	0.94	0.53	0.56	0.56	0.05	0.66	0.15	0.37	0.02	0.25	0.13	0.25	0.54	0.85	0.93	0.24	0.12	0.22	0.72	0.13	0.79	0.10	0.92	0.29	0.42	0.83	0.48	0.46	0.53	0.41	0.65	0.57	0.09	0.17	0.26	0.14	0.77	0.47	0.71	0.41	0.94	0.92	0.93	0.44	0.32	0.16	0.32	0.19	0.89
SLC8A1	0.21	0.07	0.26	0.73	0.44	0.38	0.59	0.11	0.09	0.71	0.06	0.22	0.86	0.57	0.85	0.02	0.38	0.94	0.84	0.31	0.39	0.16	0.41	0.35	0.50	0.27	0.12	0.94	0.57	0.43	0.86	0.35	0.68	0.04	0.79	0.01	0.80	0.41	0.61	0.52	0.68	0.96	0.45	0.11	0.64	0.42	0.46	0.42	0.10	0.10	0.02	0.22	0.26	0.66	0.85	0.78	0.38	0.61	0.90	0.90	0.07	0.94	0.64	0.21	0.33
THADA	0.39	0.76	0.94	0.83	0.58	0.05	0.74	0.35	0.48	0.54	0.56	0.07	0.87	0.21	0.66	0.55	0.86	0.58	0.71	0.17	0.37	0.89	0.62	0.82	0.08	0.16	0.08	0.01	0.85	0.90	0.04	0.80	0.29	0.82	0.94	0.16	0.30	0.57	0.19	0.16	0.81	0.73	0.55	0.99	0.78	0.11	0.85	0.25	0.13	0.84	0.60	0.55	0.42	0.48	0.27	0.25	0.70	0.03	0.93	0.78	0.47	0.74	0.10	0.36	0.13
CRIPT	0.78	0.59	0.68	0.77	0.10	0.35	0.43	0.79	0.75	0.78	0.63	0.10	0.24	0.48	0.04	0.55	0.03	0.96	0.26	0.91	0.31	0.03	0.13	0.22	0.24	0.94	0.18	0.33	0.22	0.65	0.84	0.42	0.51	0.84	0.83	0.15	0.41	0.66	0.09	0.82	0.67	0.86	0.92	0.14	0.04	0.90	0.41	0.56	0.64	0.36	0.44	0.97	0.21	0.31	0.01	0.19	0.79	0.16	0.51	0.49	0.03	0.07	0.56	0.81	0.87
GM4832	0.60	0.57	0.78	0.61	0.41	0.19	0.87	0.93	0.55	0.55	0.01	0.58	0.74	0.19	0.48	0.88	0.61	0.74	0.79	0.61	0.96	0.29	0.81	0.75	0.67	0.33	1.00	0.89	0.81	0.81	0.35	0.79	0.05	0.78	0.07	0.73	0.07	0.67	0.99	0.13	0.26	0.09	0.81	0.82	0.35	0.59	0.94	0.10	0.52	0.97	0.21	0.37	0.79	0.55	0.63	0.69	0.35	0.19	0.47	0.71	0.24	0.48	0.35	0.97	0.12
CUL2	0.36	0.59	0.96	0.21	0.06	0.23	0.78	0.29	0.99	0.44	0.15	0.65	0.27	0.90	0.22	0.02	0.70	0.56	0.66	0.05	0.47	0.41	0.18	0.90	0.29	0.47	0.93	0.35	0.95	0.18	0.65	0.24	0.17	0.62	0.78	0.51	0.87	0.77	0.51	0.48	0.08	0.88	0.52	0.64	0.03	0.59	0.48	0.04	0.58	0.02	0.52	0.38	0.91	0.49	0.21	0.53	0.88	0.91	0.56	0.45	0.99	0.70	0.24	0.52	0.56
PHF3	0.23	0.70	0.97	0.40	0.82	0.23	0.39	0.80	0.04	0.60	0.38	0.54	0.82	0.87	0.31	0.49	0.27	0.40	0.89	0.48	0.61	0.87	0.08	0.87	0.27	0.61	0.54	0.87	0.97	0.33	0.02	0.27	0.71	0.30	0.88	0.12	0.67	0.56	0.61	0.69	0.30	0.33	0.49	0.25	0.68	0.36	0.78	0.03	0.82	0.54	0.54	0.58	0.72	0.63	0.79	0.42	0.70	0.16	0.01	0.41	0.06	0.99	0.75	0.01	0.21
HSD17B7	0.62	0.28	0.26	0.70	0.82	0.16	0.30	0.83	0.24	0.04	0.65	0.23	0.11	0.71	0.39	0.05	0.08	0.52	0.06	0.64	0.70	0.66	0.44	0.30	0.06	0.75	0.20	0.53	0.48	0.21	0.66	0.12	0.79	0.06	0.88	0.39	0.07	0.63	0.19	1.00	0.68	0.43	0.14	0.60	0.72	0.46	0.38	0.36	0.57	0.18	0.48	0.48	0.67	0.31	0.76	0.17	0.67	0.85	0.86	0.89	0.70	0.23	0.63	0.27	0.48
ESCO1	0.46	0.68	0.86	0.31	0.22	0.57	0.55	0.24	0.64	0.45	0.67	0.03	0.26	0.31	0.96	0.81	0.33	0.92	0.67	0.93	0.26	0.98	0.34	0.20	0.31	0.99	0.95	0.99	0.53	0.94	0.65	0.22	0.17	0.51	0.60	0.81	0.07	0.32	0.20	0.06	0.22	0.79	0.38	0.22	0.61	0.13	0.42	0.57	0.34	0.25	0.18	0.01	0.52	0.44	0.39	0.79	0.02	0.48	0.61	0.39	0.39	0.48	0.26	0.17	0.20
TTC39C	0.04	0.71	0.65	0.99	0.66	0.81	0.01	0.17	0.58	0.46	0.56	0.60	0.67	0.05	0.42	0.67	0.04	0.02	0.30	0.04	0.74	0.40	0.61	0.57	0.65	0.10	0.68	0.07	0.34	0.12	0.19	0.32	0.85	0.84	0.19	0.02	0.72	0.07	0.93	0.90	0.30	0.96	0.61	0.16	0.21	0.65	0.68	0.79	0.68	0.87	0.74	0.18	0.77	0.32	0.49	0.56	0.23	0.00	0.21	0.71	0.98	0.37	0.62	0.07	0.33
RNF138	0.76	0.98	0.58	0.18	0.46	0.09	0.50	0.94	0.91	0.63	0.94	0.02	0.22	0.38	0.92	0.65	0.26	0.39	0.35	0.84	0.07	0.33	0.39	0.62	0.62	0.60	0.60	0.48	0.02	0.98	0.18	0.32	0.11	0.95	0.84	0.61	0.61	0.96	0.94	0.51	0.79	0.14	0.49	0.48	0.31	0.08	0.21	0.91	0.05	0.64	0.58	0.03	0.58	0.47	0.73	0.62	0.46	0.55	0.01	0.71	0.15	0.77	0.43	0.41	0.16
SLC39A6	0.14	0.31	0.72	0.97	0.62	0.21	0.56	0.42	0.93	0.39	0.40	0.36	0.04	0.03	0.85	0.36	0.67	0.50	0.45	0.29	0.61	0.60	0.85	0.78	0.42	0.56	0.63	0.29	0.17	0.89	0.94	0.11	0.19	0.90	0.95	0.64	0.37	0.17	0.98	0.84	0.44	0.53	0.38	0.23	0.79	0.23	0.90	0.47	0.81	0.24	0.92	0.28	0.08	0.27	0.60	0.18	0.29	0.27	0.14	0.54	0.80	0.72	0.75	0.09	0.57
SLC25A46	0.06	0.38	0.81	0.15	0.18	0.82	0.63	0.82	0.25	0.40	0.55	0.24	0.71	0.71	0.20	0.16	0.79	0.25	0.40	0.38	0.67	0.69	0.38	0.06	0.90	0.57	0.68	0.61	0.02	0.62	0.81	0.44	0.64	0.02	0.06	0.60	0.48	0.56	0.08	0.77	0.67	0.84	0.04	0.23	0.15	0.87	0.03	0.56	0.65	0.47	0.25	0.27	0.12	0.25	0.28	0.59	0.87	0.84	0.62	0.72	0.44	0.58	0.33	0.02	0.83
ERCC3	0.44	0.36	0.76	0.32	0.38	0.49	0.78	0.86	0.67	0.93	0.88	0.82	0.88	0.01	0.72	0.54	0.13	0.46	0.44	0.02	0.76	0.39	0.02	0.31	0.20	0.73	0.09	0.95	0.01	0.70	0.86	0.15	0.99	0.44	0.45	0.42	0.35	0.71	0.28	0.53	0.65	0.90	0.87	0.29	0.22	0.92	0.75	0.20	0.57	0.78	0.81	0.28	0.18	0.41	0.50	0.78	0.34	0.27	0.34	0.87	0.89	0.71	0.63	0.01	0.56
AK010403	0.57	0.20	0.59	0.69	0.42	0.74	0.26	0.30	0.08	0.85	0.88	0.23	0.83	0.44	0.82	0.62	0.49	0.06	0.93	0.98	0.49	0.94	0.12	0.54	0.97	0.22	0.37	0.35	0.81	0.83	0.77	0.16	0.35	0.79	0.03	0.19	0.64	0.35	0.95	0.00	0.68	0.53	0.67	0.47	0.22	0.42	0.38	0.59	0.15	0.03	0.32	0.50	0.39	0.84	0.58	0.30	0.22	0.68	0.16	0.67	0.28	0.72	0.06	0.96	0.18
FAM53C	0.06	0.62	0.29	0.73	0.38	0.94	0.60	0.15	0.77	0.70	0.34	0.03	0.41	0.55	0.59	0.01	0.50	0.03	0.31	0.94	0.43	0.54	0.57	0.62	0.47	0.45	0.80	0.81	0.08	0.15	0.06	0.60	0.14	0.81	0.87	0.83	0.62	0.63	0.25	0.93	0.67	0.93	0.38	0.58	0.28	1.00	0.76	0.46	0.69	0.55	0.35	0.88	0.98	0.28	0.51	0.65	0.73	0.76	0.84	0.64	0.42	0.46	0.46	0.27	0.99
CTNNA1	0.37	0.18	0.59	0.65	0.13	0.57	0.49	0.25	0.04	0.63	0.71	0.24	0.68	0.85	0.40	0.35	0.14	0.03	0.21	0.75	0.99	0.98	0.62	0.38	0.82	0.27	0.09	0.93	0.50	0.54	0.37	0.09	0.98	0.38	0.66	0.12	0.48	0.02	0.55	0.57	0.46	0.57	0.66	0.70	0.52	0.27	0.32	0.83	0.42	0.94	0.65	0.43	0.85	0.09	0.14	0.83	0.79	0.50	0.92	0.62	0.29	0.32	0.89	0.52	0.15
TMEM173	0.95	0.18	0.10	0.73	0.57	0.62	0.47	0.31	0.53	0.10	0.65	0.16	0.47	0.48	0.80	0.24	0.40	0.16	0.96	0.45	0.84	0.09	0.74	0.92	0.73	0.91	0.39	0.75	0.67	0.60	0.27	0.14	0.74	0.03	0.53	0.74	0.57	0.20	0.85	0.04	0.77	0.26	0.24	0.31	0.72	0.76	0.93	0.68	0.41	0.50	0.36	0.12	0.41	0.64	0.94	0.30	0.18	0.05	0.61	0.56	1.00	0.68	0.87	0.40	0.01
SRA1	0.10	0.44	0.19	0.35	0.04	0.44	0.00	0.75	0.52	0.28	0.82	0.25	0.74	0.31	0.74	0.06	0.68	0.94	0.65	0.03	0.71	0.50	0.27	0.72	0.11	0.49	0.50	0.86	0.76	0.29	0.77	0.25	0.08	0.68	0.34	0.85	0.67	0.14	0.58	1.00	0.83	0.71	0.92	0.86	0.78	0.91	0.93	0.07	0.56	0.71	0.70	0.11	0.19	0.07	0.78	0.92	0.18	0.36	0.64	0.95	0.85	0.76	0.86	0.87	0.94
SDHC	0.66	0.58	0.34	0.77	0.11	0.93	0.46	0.82	0.52	0.95	0.18	0.61	0.09	0.14	0.84	0.82	0.52	0.79	0.51	0.98	0.62	0.58	0.24	0.85	0.56	0.82	0.66	0.74	0.49	0.24	0.47	0.84	0.28	0.51	0.16	0.80	0.80	0.45	0.89	0.86	0.45	0.88	0.26	0.78	0.50	0.09	0.46	0.08	0.32	0.57	0.35	0.15	0.89	0.70	0.03	0.88	0.11	0.48	0.68	0.18	0.56	0.37	0.70	0.30	0.62
ARHGAP26	0.84	0.45	0.36	0.24	0.12	0.66	0.74	0.47	0.32	0.94	0.66	0.64	0.43	0.86	0.45	0.49	0.03	0.42	0.51	0.32	0.69	0.30	0.99	0.33	0.29	0.30	0.93	0.99	0.88	0.02	0.30	0.11	0.42	0.62	0.18	0.13	0.47	0.52	0.35	0.28	0.19	0.09	0.97	0.23	0.62	0.71	0.46	0.50	0.92	0.16	0.09	0.58	0.06	0.89	0.93	0.26	0.43	0.70	0.41	0.49	0.93	0.14	0.37	0.93	0.28
FCER1G	0.91	0.66	0.86	0.78	0.90	0.57	0.95	0.56	0.27	0.41	0.88	0.40	0.84	0.36	0.79	0.38	0.93	0.48	0.33	0.90	0.87	0.22	0.00	0.59	0.51	0.09	0.68	0.40	0.31	0.88	0.17	0.15	0.40	0.76	0.47	0.46	0.34	0.50	0.01	0.51	0.53	0.91	0.86	0.44	0.86	0.50	0.88	0.04	0.73	0.31	0.28	0.09	0.82	0.31	0.85	0.74	0.20	0.26	0.16	0.11	0.04	0.28	0.18	0.54	0.99
B4GALT3	0.85	0.79	0.68	0.51	0.27	0.91	0.29	0.76	0.79	0.48	0.65	0.74	0.79	0.88	0.90	0.09	0.74	0.58	0.83	0.77	0.63	0.41	0.53	0.18	0.80	0.08	0.33	0.52	0.49	0.77	0.26	0.76	0.36	0.43	0.26	0.13	0.09	0.70	0.25	0.48	0.20	0.36	0.05	0.34	0.80	0.73	0.75	0.78	0.16	0.03	0.83	0.57	0.37	0.58	0.80	0.43	0.49	0.15	0.80	0.03	0.50	0.19	0.62	0.64	0.57
COMMD10	0.77	0.02	0.22	0.59	0.74	0.49	0.29	0.54	0.74	0.87	0.98	0.88	0.91	0.44	0.43	0.18	0.45	0.80	0.38	0.35	0.14	0.75	0.00	0.33	0.25	0.21	0.01	0.47	0.08	0.76	0.07	0.31	0.49	0.37	0.84	0.27	0.41	0.91	0.22	0.44	0.04	0.37	0.17	0.51	0.44	0.18	0.49	0.62	0.17	0.02	0.12	0.10	0.27	0.84	0.49	0.23	0.86	0.01	0.36	0.15	0.25	0.01	0.39	0.66	0.02
UFC1	0.69	0.01	0.74	0.85	0.77	0.39	0.08	0.68	0.61	0.98	0.01	0.42	0.92	0.25	0.13	0.94	0.93	0.97	0.78	0.79	0.39	0.11	0.53	0.32	0.25	0.89	0.28	0.55	0.49	0.43	0.38	0.35	0.46	0.43	0.31	0.61	0.02	0.52	0.36	0.88	0.36	0.55	0.46	0.68	0.88	0.62	0.75	0.94	0.62	0.38	0.38	0.97	0.79	0.71	0.85	0.89	0.15	0.34	0.82	0.12	0.38	0.68	0.85	0.80	0.36
AK163160	0.93	0.82	0.98	0.36	0.77	0.78	0.93	0.75	0.22	0.98	0.94	0.97	0.70	0.10	0.36	0.76	0.15	0.95	0.89	0.71	0.10	0.12	0.35	0.74	0.67	0.88	0.65	0.20	0.11	0.96	0.43	0.15	0.49	0.14	0.58	0.71	0.73	0.02	0.28	0.67	0.96	0.17	0.81	0.59	0.83	0.02	0.51	0.33	0.15	0.28	0.29	0.77	0.95	0.30	0.08	0.48	0.01	0.61	0.55	0.85	0.75	0.80	0.06	0.03	0.82
ISOC1	0.27	0.06	0.56	0.05	0.33	0.86	0.35	0.08	0.94	0.33	0.63	0.97	0.14	0.98	0.75	0.20	0.51	0.06	0.66	0.64	0.18	0.17	0.07	0.27	0.96	0.20	0.37	0.55	0.11	0.37	0.94	0.95	0.52	0.00	0.35	0.91	0.16	0.68	0.50	0.71	0.48	0.15	0.40	0.92	0.83	0.98	0.71	0.96	0.34	0.18	0.41	0.65	0.57	0.68	0.41	0.92	0.72	0.63	0.44	0.83	0.07	0.81	0.01	0.20	0.93
RBM22	0.67	0.56	0.36	0.17	0.22	0.80	0.61	0.95	0.42	0.96	0.31	0.73	0.74	0.21	0.17	0.82	0.05	0.85	0.26	0.86	0.79	0.32	0.80	1.00	0.67	0.26	0.17	0.78	0.35	0.84	0.64	0.87	0.82	0.13	0.41	0.83	0.56	0.08	0.76	0.68	0.78	0.52	0.09	0.38	0.10	0.53	0.53	0.45	0.91	0.30	0.73	0.65	0.05	0.84	0.79	0.07	0.63	0.21	0.91	0.50	0.38	0.31	0.39	0.54	0.22
ARHGAP30	0.72	0.35	0.73	0.35	0.52	0.56	0.63	0.70	0.97	0.21	0.69	0.63	0.47	0.98	0.35	0.45	0.29	0.95	0.22	0.72	0.61	0.47	0.64	0.78	0.64	0.98	0.30	0.48	0.69	0.09	0.57	0.50	0.08	0.79	0.90	0.13	0.04	0.73	0.84	0.28	0.97	0.75	0.06	0.08	0.39	0.49	0.52	0.72	0.22	0.10	0.99	0.88	0.33	0.15	0.37	0.78	0.97	0.57	0.09	0.47	0.13	0.01	0.89	0.51	0.41
NAPG	0.80	0.79	0.64	0.27	0.15	0.13	0.66	0.29	0.12	0.60	0.34	0.82	0.12	0.41	0.22	0.16	0.63	0.23	0.18	0.61	0.09	0.87	0.81	0.68	0.67	0.79	0.93	0.06	0.27	0.62	0.80	0.40	0.24	0.13	0.35	0.46	0.09	0.72	0.42	0.55	0.91	0.17	0.24	0.89	0.13	0.60	0.98	0.83	0.87	0.00	0.31	0.05	0.22	0.69	0.71	0.26	0.59	0.31	0.83	0.42	0.46	0.23	0.26	0.78	0.69
MALT1	0.06	0.70	0.57	0.72	0.59	0.75	0.34	0.96	0.74	0.64	0.80	0.50	0.11	0.66	0.65	0.84	0.28	0.70	0.53	0.56	0.81	0.77	0.06	0.70	0.93	0.46	0.59	0.35	0.85	0.72	0.19	0.51	0.32	0.77	0.11	0.68	0.76	0.14	0.31	0.70	0.60	0.85	0.34	0.54	0.44	0.38	0.26	0.31	0.46	0.39	0.10	0.32	0.10	0.37	0.96	0.69	0.91	0.74	0.70	0.93	0.81	0.31	0.23	0.19	0.30
CD84	0.29	0.61	0.42	0.07	0.44	0.04	0.46	0.84	0.35	0.54	0.59	0.29	0.40	0.28	0.11	1.00	0.49	0.65	0.06	0.50	0.84	0.50	0.48	0.40	0.86	0.73	0.54	0.04	0.75	0.53	0.18	0.08	0.03	0.19	0.14	0.18	0.87	0.92	0.02	0.60	0.58	0.75	0.67	0.14	0.78	0.37	0.03	0.38	0.45	0.95	0.97	0.10	0.64	0.20	0.16	0.61	0.52	0.22	0.43	0.51	0.65	0.07	0.20	0.24	0.82
CHMP1B	0.89	0.80	0.12	0.79	0.09	0.33	0.99	0.48	0.66	0.59	0.06	0.96	0.53	0.87	0.65	0.36	0.42	0.93	0.12	0.57	0.81	0.93	0.75	0.11	0.22	0.15	0.79	0.36	0.58	0.87	0.80	0.91	1.00	0.07	0.16	0.32	0.88	0.21	0.38	0.61	0.48	0.47	0.31	0.29	0.65	0.18	0.50	0.83	0.37	0.08	0.25	0.31	0.45	0.38	0.68	0.72	0.29	0.79	0.87	0.67	0.94	0.61	0.83	0.50	0.10
CEP192	0.38	0.91	0.20	0.62	0.63	0.32	0.82	0.06	0.57	0.63	0.34	0.71	0.98	0.59	0.40	0.52	0.70	0.25	0.34	0.62	0.04	0.25	0.45	0.88	0.85	0.07	0.77	0.07	0.78	0.59	0.67	0.64	0.17	0.88	0.43	0.56	0.06	0.85	0.51	0.51	0.06	0.28	0.99	0.06	0.43	0.53	0.57	0.47	0.37	0.39	0.63	0.83	0.70	0.36	0.53	0.11	0.12	0.93	0.12	0.68	0.68	0.82	0.80	0.00	0.68
TCIRG1	0.57	0.53	0.74	0.46	0.47	0.07	0.33	0.03	0.10	0.06	0.07	0.61	0.76	0.65	0.60	0.94	0.84	0.92	0.96	0.56	0.64	0.43	0.46	0.38	0.34	0.80	0.25	0.76	0.33	0.65	0.48	0.58	0.29	0.83	0.55	0.35	0.38	0.67	0.08	0.58	0.36	0.52	0.94	0.63	0.76	0.40	0.38	0.29	0.34	0.02	0.24	0.94	0.38	0.12	0.11	0.73	0.39	0.92	0.63	0.91	0.94	0.45	0.96	0.54	0.04
PITPNM1	0.23	0.35	0.76	0.31	0.89	0.50	0.76	0.22	0.73	0.36	0.51	0.05	0.26	0.68	0.17	0.91	0.71	0.23	0.17	0.01	0.25	0.49	0.55	0.05	0.53	0.90	0.67	0.64	0.61	0.21	0.75	0.85	0.80	0.93	0.42	0.86	0.29	0.29	0.44	0.01	0.62	0.43	0.93	0.75	0.00	0.23	0.49	0.96	0.27	0.89	0.57	0.46	0.70	0.83	0.63	0.13	0.19	0.51	0.67	0.90	0.84	0.50	0.94	0.07	0.28
POLD4	0.43	0.23	0.22	0.44	0.69	0.01	0.06	0.66	0.62	0.19	0.34	0.52	0.68	0.07	0.35	0.75	0.53	0.33	0.47	0.03	0.01	0.87	0.46	0.00	0.11	0.17	0.48	0.70	0.74	0.76	0.68	0.09	0.50	0.78	0.15	0.23	0.28	0.59	0.66	0.67	0.28	0.45	0.79	0.09	0.98	0.16	0.46	0.98	0.29	0.33	0.99	0.55	0.37	0.89	0.58	0.03	0.25	0.76	0.21	0.73	0.28	0.63	0.84	0.10	0.13
BBS1	0.56	0.79	0.04	0.69	0.97	0.72	0.35	0.59	0.92	0.28	0.05	0.12	0.50	0.75	0.67	0.68	0.98	0.12	0.31	0.91	0.72	0.14	0.18	1.00	0.65	0.22	0.85	0.51	0.75	0.88	0.63	0.12	0.48	0.04	0.83	0.16	0.97	0.38	0.60	0.05	0.27	0.78	0.15	0.19	0.45	0.23	0.97	0.66	0.10	0.08	0.47	0.16	0.45	0.57	0.21	0.57	0.72	0.99	0.40	0.00	0.31	0.07	0.36	0.97	0.65
GAL3ST3	0.21	0.75	0.53	0.71	0.47	0.19	0.13	0.74	0.78	0.00	0.55	0.93	0.35	0.68	0.39	0.68	0.76	0.64	0.42	0.82	0.27	0.36	0.76	0.40	0.49	0.11	0.97	0.85	0.97	0.66	0.67	0.77	0.39	0.60	0.85	0.40	1.00	0.50	0.79	0.00	0.47	0.64	0.37	0.12	0.64	0.50	0.64	0.40	0.04	0.03	0.67	0.16	0.96	0.78	0.45	0.79	0.98	0.35	0.16	0.41	0.89	0.75	0.30	0.43	0.34
CCDC85B	0.94	0.90	0.83	0.03	0.44	0.27	0.54	0.97	0.25	0.96	0.44	0.54	0.19	0.08	0.82	0.44	0.21	0.88	0.99	0.04	0.61	0.46	0.31	0.91	0.83	0.19	0.53	0.71	0.14	0.79	0.25	0.96	0.20	0.89	0.88	0.91	0.19	0.15	0.69	0.46	0.36	0.29	0.18	0.36	0.16	0.70	0.81	0.84	0.22	0.58	0.65	0.06	0.36	0.22	0.82	0.30	0.94	0.83	0.63	0.91	0.79	0.77	0.10	0.77	0.40
